trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
49,False,"{'a': 0.7, 'e': 0.5099999999999996}",25,0,22.38485647860671,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
50,False,"{'a': 0.7, 'e': 0.49999999999999956}",25,5,-30.146746921639462,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",1
51,False,"{'a': 0.7, 'e': 0.48999999999999955}",20,6,-1.9832811026706545,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
52,False,"{'a': 0.7, 'e': 0.47999999999999954}",25,0,-49.51242686660071,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
53,False,"{'a': 0.7, 'e': 0.46999999999999953}",35,12,-57.93142431012263,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 2}",1
54,False,"{'a': 0.7, 'e': 0.4599999999999995}",30,0,-41.10852813496684,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 0}",0
55,False,"{'a': 0.7, 'e': 0.4499999999999995}",20,5,2.94046605345393,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
56,False,"{'a': 0.7, 'e': 0.4399999999999995}",25,1,-48.03897248774095,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 1}",1
57,False,"{'a': 0.7, 'e': 0.4299999999999995}",30,2,-27.520574980926483,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 0}",1
58,False,"{'a': 0.7, 'e': 0.4199999999999995}",25,0,-75.96239154000563,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
59,False,"{'a': 0.7, 'e': 0.4099999999999995}",25,0,-38.10511921685169,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
60,False,"{'a': 0.7, 'e': 0.39999999999999947}",25,8,-25.525851189773633,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
61,False,"{'a': 0.7, 'e': 0.38999999999999946}",25,0,-46.214376755632,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
62,False,"{'a': 0.7, 'e': 0.37999999999999945}",25,8,-1.9977069773898375,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
63,False,"{'a': 0.7, 'e': 0.36999999999999944}",20,12,13.64264675812693,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.7, 'e': 0.35999999999999943}",20,13,4.936939027777793,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.7, 'e': 0.3499999999999994}",25,12,20.04760135630168,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
